station_id,location_name,day,time,num_bikes_available,num_docks_available,capacity
545,Morton St at Gallivan Blvd,4,11:22:20,0,15,15
546,Cleary Sq,5,08:18:43,6,10,16
547,606 American Legion Hwy at Canterbury St,4,15:43:47,7,11,18
548,555 Metropolitan Ave,4,04:59:50,3,15,18
549,Valenti Way at Haverhill St,5,17:16:37,1,23,24
550,Somerville High School & Central Library,5,16:33:28,10,7,17
553,Cambridge Crossing at North First Street,5,17:20:06,4,19,23
554,Forsyth St at Huntington Ave,5,17:19:59,5,8,15
555,Hyde Park Library,5,09:22:34,3,12,15
556,Ross Playground,5,04:55:48,3,15,19
557,Galileo Galilei Way at Fulkerson St/Binney St,5,17:17:31,6,13,19
558,St. Alphonsus St at Tremont St,5,17:14:51,0,17,18
559,Centre St at Commonwealth Ave,5,17:17:00,6,4,11
560,Flat 9 at Whittier,5,17:19:49,11,4,15
561,Pier 4 Blvd at Autumn Ln,5,17:14:51,2,17,19
562,Hawthorne Boulevard,5,16:44:14,9,0,9
563,Addison St at Saratoga St,5,15:09:11,2,17,19
564,Raymond Park at Walden St,5,15:58:52,4,15,19
565,Wellington MBTA,5,14:55:33,8,11,19
566,Main Street/Albany Street/Technology Square,5,17:19:16,11,12,23
567,Brighton Ave at Linden St,5,17:16:49,1,18,19
568,Shawmut Ave at Lenox St,5,17:10:34,1,18,19
569,Hood Park,5,16:12:21,3,20,23
570,Salem State University - North Campus,5,12:37:08,3,8,11
571,Forest River Park,4,13:13:59,0,11,11
572,Essex St at Dalton Parkway,4,18:52:53,6,5,11
